target_order,norm_class,closure_symmetry,left_boundary_order,right_boundary_order,left_rows,right_rows,left_support_profile,right_support_profile,norm_bandwidth,objective,l1_weight,moment_weight,margin_weight,min_norm_margin,coefficient_bound,extra_moment_degree,design_meshes,spectral_radius_cap,q_condition_cap,mixed_pde_error_cap,minimum_rate_ratio,program_id,hard_pass_all,mixed_pde_rate,rate_pass,utility,objective_value,LP_norm_margin,LP_equality_residual,variable_count,equation_count,cells,structural_pass,spectral_pass,pde_pass,egd_residual,moment_residual,minimum_Q_eigenvalue,minimum_P_eigenvalue,scaled_spectral_radius,q_condition_bound,scaled_condition,first_mode_rel_error,max_first_modes_rel_error,extra_low_modes,nonreal,low_pde_error,mixed_pde_error,compile_success,preflight_reject,solver_time_s,error,canonical_hash,strategy,seed,budget_step,preflight_resamples,best_so_far,seed_auc,preflight_rejections_in_arm,preflight_violations,binding_group,group_minimum_violation,feasible_without_positive_norm_margin,infeasibility_interpretation,infeasibility_diagnostic_error,archive_condition,model_id,role,hypothesis,rationale,input_tokens,output_tokens,api_latency_s,repair_index,refined_previous,refinement_eligible,predicted_hard_pass,predicted_primary_metric,predicted_primary_value,evidence_eligible,external_pass
8,block_psd,asymmetric,2,2,6,6,"(9, 11, 15, 19, 23, 19)","(18, 22, 20, 19, 17, 17)",4,min_l1,0.0010255432976732,3.734331170867693,0.0126112090811956,0.0003688918138916,9.081743672955538,3,"(50, 52)",17.810862757598187,12.103819553385463,1.980755159748658e-09,0.6726872211976584,prog_k8_block_psd_asymmetric_min_l1_6773a1561b4e,False,4.920373606935296,True,-1.5,17.37649968328466,0.0003688918138916,1.27675647831893e-15,973.0,836.0,160.0,True,False,False,3.3306690738754696e-16,2.216560268664125e-13,0.0001273118075399,6.913802766546068e-06,7.108836428562732,12.735280922512183,10355.036649225292,2.6113508574778525e-05,0.0007215378981712,4.0,0.0,11587239.380445076,17929287029.662666,True,False,0.3311803080000572,,ada83eadae6e1643f228639daef7f998c18b6c9677d7cebd35855060e7645434,uniform_random,0,1,0.0,-1.5,0.7326499623439012,36,,,,,,,,,,,,,,,,,,,,,,False
6,diagonal,reflection,2,2,4,4,"(19, 16, 18, 14)","(19, 16, 18, 14)",3,hybrid,9.74629928019896,8.760038529257072,1.139268142826557,7.147159701482497e-05,708.5466284143267,2,"(42, 52)",10.22274278366566,1.862914873167712,8.637175459349755e-05,0.7753543224757259,prog_k6_diagonal_reflection_hybrid_4615740a43b3,False,4.001486219479568,True,-1.2,141.1546697403735,7.147159701482497e-05,6.245004513516507e-16,341.0,568.0,160.0,True,False,True,2.220446049250313e-16,2.273736754432321e-13,4.466974813426561e-07,0.0005505769058146,1655.3467276463152,163.7564648647085,167.72168769484202,1.2453685673034689e-08,7.507837456322573e-06,0.0,0.0,1.4158463674365307e-06,5.407684723055688e-05,True,False,0.1078688650000003,,b267f9f0acc7edbfc86ebef619b1e12b6239dfe7d1d50436cba7de3beae3350b,uniform_random,0,2,0.0,-1.2,0.7326499623439012,36,,,,,,,,,,,,,,,,,,,,,,False
8,diagonal,asymmetric,3,2,12,12,"(16, 20, 18, 14, 18, 14, 12, 15, 19, 23, 19, 17)","(21, 17, 13, 12, 12, 16, 12, 12, 11, 10, 14, 13)",4,min_next_moment,0.1645742970261471,2.686162783707024,0.4802063028681256,3.942674553437848e-08,68.16909124336769,2,"(50, 52)",14.024103398716056,82.82382538517648,1.1573068455392731e-08,0.8026115105212872,prog_k8_diagonal_asymmetric_min_next_moment_a51f11867868,False,,,-2.0,,,,,,,,,,,,,,,,,,,,,,,False,False,0.8968749910000042,InfeasibleProgram: LP infeasible: The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None); equality residual 7.975e-02,,uniform_random,0,3,4.0,-1.2,0.7326499623439012,36,,extended_gauss,"{""derivative_boundary_moments"": 0.0, ""extended_gauss"": 0.07975260416666667, ""gradient_boundary_moments"": 0.0}",False,the algebraic system itself is inconsistent for this structure,,,,,,,,,,,,,,,,,False
6,diagonal,asymmetric,4,4,11,12,"(24, 20, 16, 12, 16, 12, 16, 18, 15, 19, 21)","(14, 17, 20, 18, 15, 19, 22, 18, 16, 20, 16, 13)",2,min_l1,9.46470505680529,2.2058272941442776,0.2861576867146041,6.362906885304924e-07,3532.495869180684,3,"(52, 68)",15.334700110621856,37.87121577178469,0.0006182443795362,0.5722867247398318,prog_k6_diagonal_asymmetric_min_l1_d1512f25bacd,False,,,-2.0,,,,,,,,,,,,,,,,,,,,,,,False,False,4.671529222999993,InfeasibleProgram: LP infeasible: The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None); equality residual 6.510e-02,,uniform_random,0,4,5.0,-1.2,0.7326499623439012,36,,extended_gauss,"{""derivative_boundary_moments"": 0.0, ""extended_gauss"": 0.06510416666666667, ""gradient_boundary_moments"": 0.0}",False,the algebraic system itself is inconsistent for this structure,,,,,,,,,,,,,,,,,False
6,diagonal,reflection,2,2,11,11,"(19, 23, 19, 15, 19, 17, 17, 21, 17, 13, 14)","(19, 23, 19, 15, 19, 17, 17, 21, 17, 13, 14)",4,max_margin,0.0802911822727078,0.1930273393230225,0.1867292397013269,1.891050742093596e-05,5.79066626771737,1,"(50, 52)",14.944807169200528,44.41838016436854,0.0073250999490757,0.8333200469234759,prog_k6_diagonal_reflection_max_margin_9ddbc66ff988,False,5.0646366118243344,True,-1.5,-0.1554013323770045,0.8323161300505055,1.021405182655144e-14,799.0,1332.0,160.0,True,False,True,1.1102230246251563e-16,1.2212453270876722e-14,0.003125,0.0052019758128156,6.165772462555579,1.57796734395343,0.6247227216806142,1.0281278824195565e-06,0.0004949430503746,4.0,0.0,1.850508461987695e-05,0.0015095226372744,True,False,0.1545915660000218,,6a23da4e5291b62fd3c79bc31fd958729610c60168f0cc4d9bc44510a384ab6a,uniform_random,0,5,1.0,-1.2,0.7326499623439012,36,,,,,,,,,,,,,,,,,,,,,,False
8,block_psd,reflection,2,2,4,4,"(20, 16, 20, 24)","(20, 16, 20, 24)",3,min_next_moment,0.0019718130224432,0.0548552131784186,0.5286085024428091,3.5292375737399065e-07,9344.707531208634,2,"(52, 68)",18.7799257180029,2.0137975355774977,3.0872124654306134e-06,0.9462151061034566,prog_k8_block_psd_reflection_min_next_moment_120c628fd4cb,False,4.928609983752293,True,-1.2,0.0097126520445132,3.5292375737399065e-07,1.5987211554602254e-14,257.0,672.0,160.0,True,True,True,1.2878587085651816e-14,1.5987211554602254e-14,0.003125,0.0018589915998202,6.620966066211683,1.321594710186181,0.670844118747579,9.42964720243353e-11,5.82905420166275e-08,0.0,0.0,7.462779993320703e-11,1.2248421519601498e-07,True,False,0.1285744889999023,,779b5b94cc846a28ca4a2003396f58c339646770346ed9fc63fbb1dfd73ccd16,uniform_random,0,6,2.0,-1.2,0.7326499623439012,36,,,,,,,,,,,,,,,,,,,,,,True
8,diagonal,reflection,3,3,6,6,"(20, 16, 20, 16, 14, 13)","(20, 16, 20, 16, 14, 13)",1,hybrid,0.2187412657825527,0.2690080430405501,0.0586745900971113,4.5073900103067167e-10,2.3769461514436085,3,"(44, 52)",13.279522889025516,2.4111295570597324,0.0538099715828778,0.3574772283861472,prog_k8_diagonal_reflection_hybrid_77baa1bbe9df,True,5.593230642918484,True,1.3486256647948418,8.080794971028721,0.361770887436192,5.018208071305708e-14,553.0,840.0,160.0,True,True,True,2.886579864025407e-15,5.1125770283988465e-14,0.003125,0.0022610680464762,6.617171908837837,1.3510252081518008,0.6704596901707957,3.75623639324301e-12,4.6060639020446554e-08,0.0,0.0,1.5943329030996258e-10,2.658367787860509e-07,True,False,0.3032735529999399,,84b19800f117e59d9de4ea5bf2d78617d140fa573aaa7888d445054d7a445405,uniform_random,0,7,0.0,1.3486256647948418,0.7326499623439012,36,,,,,,,,,,,,,,,,,,,,,,True
6,block_psd,asymmetric,2,3,8,8,"(12, 16, 12, 16, 15, 13, 16, 12)","(10, 14, 18, 18, 18, 17, 21, 17)",2,min_next_moment,8.771594383151001,0.1923417473532413,3.3809920048058872,5.394028313602648e-10,3464.114641693549,2,"(46, 52)",8.189824253662996,1.0573111967663578,2.0563287511439667e-07,0.4327122576622779,prog_k6_block_psd_asymmetric_min_next_moment_a98ba345155c,False,5.107303957364466,True,-1.2,0.0039419798534663,5.394028313602648e-10,2.071146809612401e-09,755.0,948.0,160.0,True,False,False,1.216903910972178e-09,1.6314515960402787e-08,0.0001800911638378,0.0005792890588364,1540750995.4166014,8.951088244501772,39027649.96218183,5.071573421542192e-06,5.071573421542192e-06,0.0,0.0,2.018968079242803e-08,3.303480671973507e-07,True,False,0.1921370509999178,,23ba64b41af74030c78af4bca3208a5f19e8d670326f06cd4dcf09c4aef345bc,uniform_random,0,8,6.0,1.3486256647948418,0.7326499623439012,36,,,,,,,,,,,,,,,,,,,,,,False
8,diagonal,reflection,5,5,9,9,"(13, 13, 17, 13, 13, 17, 19, 18, 18)","(13, 13, 17, 13, 13, 17, 19, 18, 18)",3,min_next_moment,3.8165161327922856,0.0323567843461959,0.0281479413617127,1.2506045142998751e-09,3.908948846562721,3,"(42, 52)",6.651698431236355,41.1467805346885,1.7730289875621506e-12,0.6246069717348577,prog_k8_diagonal_reflection_min_next_moment_0f5ed4f63265,False,,,-2.0,,,,,,,,,,,,,,,,,,,,,,,False,False,0.5141975989999992,InfeasibleProgram: LP infeasible: The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None); equality residual 7.026e-05,,uniform_random,0,9,2.0,1.3486256647948418,0.7326499623439012,36,,extended_gauss,"{""derivative_boundary_moments"": 0.0, ""extended_gauss"": 0.00011282148552723449, ""gradient_boundary_moments"": 0.0}",False,the algebraic system itself is inconsistent for this structure,,,,,,,,,,,,,,,,,False
8,diagonal,reflection,3,3,4,4,"(13, 14, 15, 12)","(13, 14, 15, 12)",4,min_l1,5.098990970646676,0.1784539227213574,0.1437456873180849,3.166431314923594e-05,576.3462229755835,3,"(36, 52)",5.356143475584222,14.581599244549826,0.0001244972042487,1.0455683661434496,prog_k8_diagonal_reflection_min_l1_2a380d1cccd0,False,,,-2.0,,,,,,,,,,,,,,,,,,,,,,,False,False,0.2545741080000425,InfeasibleProgram: LP infeasible: The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None); equality residual 1.194e-04,,uniform_random,0,10,0.0,1.3486256647948418,0.7326499623439012,36,,extended_gauss,"{""derivative_boundary_moments"": 0.0, ""extended_gauss"": 7.08665469193272e-05, ""gradient_boundary_moments"": 0.0}",False,the algebraic system itself is inconsistent for this structure,,,,,,,,,,,,,,,,,False
